"country","data"
"Algeria",2
"Angola",1
"Burundi",2
"Cabo Verde",1
"Congo (the)",2
"Egypt",2
"Equatorial Guinea",1
"Ethiopia",1
"Gambia (the)",2
"Ghana",2
"Guinea-Bissau",3
"Guinea",2
"Kenya",14
"Liberia",2
"Libya",1
"Madagascar",5
"Morocco",1
"Mauritania",3
"Mozambique",5
"Namibia",2
"Senegal",4
"Sierra Leone",2
"South Africa",2
"Tanzania, the United Republic of",14
"Togo",1
"Tunisia",2
"Uganda",3
"Zambia",3
"American Samoa",1
"Australia",7
"Bahrain",1
"Bangladesh",5
"Cambodia",2
"China",4
"Cook Islands (the)",1
"Micronesia (Federated States of)",1
"Fiji",4
"French Polynesia",1
"Hong Kong (Special Administrative Region China)",1
"India",6
"Indonesia",16
"Iran (Islamic Republic of)",1
"Iraq",2
"Kuwait",1
"Lao People's Democratic Republic (the)",4
"Malaysia",3
"Myanmar",1
"New Caledonia",1
"New Zealand",1
"Papua New Guinea",5
"Philippines (the)",11
"Qatar",1
"Saudi Arabia",1
"Seychelles",1
"Solomon Islands",7
"Sri Lanka",1
"Syrian Arab Republic (the)",2
"Taiwan (Province of China)",1
"Thailand",3
"Timor-Leste",2
"Tonga",1
"United Arab Emirates (the)",1
"Vanuatu",2
"Viet Nam",1
"Albania",2
"Bosnia and Herzegovina",1
"Croatia",2
"Cyprus",2
"Denmark",1
"United Kingdom of Great Britain and Northern Ireland (the)",8
"Estonia",1
"France",5
"Greece",7
"Iceland",1
"Ireland",3
"Italy",11
"Montenegro",3
"Norway",1
"Poland",1
"Portugal",13
"Slovenia",2
"Spain",22
"Sweden",2
"Turkey",6
"Argentina",2
"Bahamas (the)",1
"Belize",2
"Brazil",57
"Chile",10
"Colombia",1
"Colombia",4
"Costa Rica",2
"Dominican Republic (the)",1
"Ecuador",2
"French Guiana",1
"Mexico",21
"Nicaragua",1
"Panama",1
"Peru",7
"Uruguay",1
"Canada",10
"United States of America (the)",19
